completed_at,pair,interval,variant,family,candles_loaded,total_return_pct,rank_score,rank_grade,final_equity,trade_count,win_rate_pct,profit_factor,max_drawdown_pct,fees_paid,maker_fee_rate,taker_fee_rate,fee_gst_rate,maker_fee_effective_rate,taker_fee_effective_rate,entry_fee_type,exit_fee_type,leverage,risk_per_trade_pct,compound_risk_equity,stop_loss_pct,take_profit_pct,stop_slippage_pct,funding_fee_rate,funding_interval_hours,funding_paid,ambiguous_exit_count,gap_exit_count,trailing_stop_enabled,trailing_profile,trailing_stop_activation_pct,trailing_stop_distance_pct,atr_dynamic_exits_enabled,atr_period,atr_stop_multiple,atr_take_profit_multiple,atr_take_profit_mode,accepted_reports,rejected_reports,enter_long,enter_short,exit_long,exit_short,hold,error
2026-05-18T04:24:35.216977+05:30,B-ZEC_USDT,5m,hybrid_meta,hybrid_meta,1000,-3.106728980906704190310266300,-7.040870641556612790649967205,reject,968.9327101909329580968973370,5,20.0,0.2952856961137269931198431696,3.819770442301890069263509795,4.065858557983416661107222690,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,10,995,5,0,5,0,995,
2026-05-18T04:24:55.348850+05:30,B-ZEC_USDT,15m,hybrid_meta,hybrid_meta,1000,-3.587437191793245385303803190,-9.225073026931923102200498132,reject,964.1256280820675461469619681,11,27.27272727272727272727272727,0.5837673563911067587653779192,5.884136438336712987541960622,6.256060914860607610717030609,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,22,989,11,0,11,0,989,
2026-05-18T04:25:15.037000+05:30,B-ZEC_USDT,30m,hybrid_meta,hybrid_meta,1000,-6.059957120582805673734147190,-14.52446069025031765821091803,reject,939.4004287941719432626585281,24,29.16666666666666666666666667,0.6645028289924290280405859051,8.794807382121896032446354117,10.08104638310392075977323474,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,48,976,25,0,24,0,975,
2026-05-18T04:25:34.520715+05:30,B-ZEC_USDT,1h,hybrid_meta,hybrid_meta,1000,7.108013855771655967134641200,7.538455992415702923553977609,A,1071.080138557716559671346412,26,50.0,1.521859217812185357517044602,3.130621039184259006891802236,9.065912852735714841962852468,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,52,974,26,0,26,0,974,
2026-05-18T04:25:53.679536+05:30,B-ZEC_USDT,4h,hybrid_meta,hybrid_meta,1000,-1.654915749971015811393466740,-7.656589194551111613890918432,reject,983.4508425002898418860653326,26,34.61538461538461538461538462,0.9048361993576762818027226141,7.289076674636358692882317540,4.402342688558176330747919820,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,52,974,26,0,26,0,974,
2026-05-18T04:26:13.278365+05:30,B-BNB_USDT,5m,hybrid_meta,hybrid_meta,1000,0,-999999,too_few_trades,1000,0,,,0,0,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,0,1000,0,0,0,0,1000,
2026-05-18T04:26:32.317198+05:30,B-BNB_USDT,15m,hybrid_meta,hybrid_meta,1000,0,-999999,too_few_trades,1000,0,,,0,0,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,0,1000,0,0,0,0,1000,
2026-05-18T04:26:51.851701+05:30,B-BNB_USDT,30m,hybrid_meta,hybrid_meta,1000,-1.509756070650009564040410060,-3.443768926446113558934882984,too_few_trades,984.9024392934999043595958994,2,0,0E+26,1.627210284636883195915578339,1.638877685419682556280366997,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,4,998,2,0,2,0,998,
2026-05-18T04:27:11.050048+05:30,B-BNB_USDT,1h,hybrid_meta,hybrid_meta,1000,-3.017301348248600902958011330,-6.105230650708781793077169228,reject,969.8269865175139909704198867,5,20.0,0.2919227436164855136446357801,3.137419831754521533926743566,4.095426702295767757649560975,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,10,995,5,0,5,0,995,
2026-05-18T04:27:30.254587+05:30,B-BNB_USDT,4h,hybrid_meta,hybrid_meta,1000,-11.74018758520042278501717969,-26.87302580864096090971446927,reject,882.5981241479957721498282031,11,0,0E+25,12.54627057875243049975783166,5.444748653436485031737123542,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,22,989,11,0,11,0,989,
