completed_at,pair,interval,variant,family,candles_loaded,total_return_pct,final_equity,trade_count,win_rate_pct,profit_factor,max_drawdown_pct,fees_paid,accepted_reports,rejected_reports,enter_long,enter_short,exit_long,exit_short,hold,error
2026-05-17T04:41:53.840381+05:30,B-SOL_USDT,1h,adaptive_default,adaptive_hybrid,1000,13.45429992389549677263389690,1134.542999238954967726338969,18,61.11111111111111111111111111,2.643307137945070194710286229,2.991129071503734995957449286,16.06208057625809843524963693,36,982,8,10,8,10,982,
2026-05-17T04:42:12.219804+05:30,B-SOL_USDT,1h,adaptive_reverse_exit,adaptive_hybrid,1000,5.05768907485923256682569100,1050.576890748592325668256910,27,37.03703703703703703703703704,1.364018584831649132213142063,6.784632128740628225506425720,27.24213196903176908443211082,54,963,13,14,13,14,963,
2026-05-17T04:42:24.010079+05:30,B-SOL_USDT,1h,ema_default,ema_rsi_trend,1000,13.0561351224897755383204600,1130.561351224897755383204600,21,57.14285714285714285714285714,2.241398394445710174157340832,3.998952193045361343380730325,18.39953411771477878050141488,42,979,22,23,9,12,955,
2026-05-17T04:42:35.890209+05:30,B-SOL_USDT,1h,ema_fast,ema_rsi_trend,1000,-1.844163262792993742440301200,981.5583673720700625755969880,33,36.36363636363636363636363636,0.9203941584195874645948591248,9.832815924404454132541135263,30.98582737798363397433279603,66,967,26,26,15,19,947,
2026-05-17T04:42:47.798224+05:30,B-SOL_USDT,1h,ema_slow,ema_rsi_trend,1000,2.398043756894840466336794800,1023.980437568948404663367948,22,40.90909090909090909090909091,1.167416243277448411884498943,5.722971036778409950233940695,16.92992546253806260367533549,44,978,17,18,9,13,965,
2026-05-17T04:43:10.339944+05:30,B-SOL_USDT,1h,ema_conservative_rsi,ema_rsi_trend,1000,17.62351449101681370292545660,1176.235144910168137029254566,21,61.90476190476190476190476190,3.099903213019876797298549339,2.296749423862584252046334734,18.99755700779338735753861746,42,978,21,21,12,11,955,
2026-05-17T04:43:30.243333+05:30,B-SOL_USDT,1h,bb_default,bb_volume_reversion,1000,-9.32216088099728845304293800,906.7783911900271154695706200,27,33.33333333333333333333333333,0.5426171934458730628279395262,10.19554105641175777555909575,31.82911530225833229006054188,54,973,12,23,9,18,965,
2026-05-17T04:43:46.254522+05:30,B-SOL_USDT,1h,bb_lenient_volume,bb_volume_reversion,1000,-11.17227211771198342411785910,888.2772788228801657588214090,33,33.33333333333333333333333333,0.5437463002368526243457562246,11.17227211771198342411785910,37.63527085273674777866278374,66,967,14,32,10,23,954,
2026-05-17T04:44:25.548406+05:30,B-SOL_USDT,1h,bb_strict_volume,bb_volume_reversion,1000,-8.731770198004362403887370490,912.6822980199563759611262951,18,27.77777777777777777777777778,0.4168945531354945257867346723,8.731770198004362403887370490,24.47873608141593093485079871,36,982,6,15,6,12,979,
2026-05-17T04:45:15.292465+05:30,B-SOL_USDT,4h,adaptive_default,adaptive_hybrid,1000,5.91873845819909470802097900,1059.187384581990947080209790,23,56.52173913043478260869565217,1.549100063219832403842621183,4.287593285058940043367967538,9.624656782859326486825137504,46,977,12,11,12,11,977,
2026-05-17T04:45:33.838046+05:30,B-SOL_USDT,4h,adaptive_reverse_exit,adaptive_hybrid,1000,5.91873845819909470802097900,1059.187384581990947080209790,23,56.52173913043478260869565217,1.549100063219832403842621183,4.287593285058940043367967538,9.624656782859326486825137504,46,977,12,11,12,11,977,
2026-05-17T04:45:45.801831+05:30,B-SOL_USDT,4h,ema_default,ema_rsi_trend,1000,-10.27670020605593048401252776,897.2329979394406951598747224,33,24.24242424242424242424242424,0.5838158650669316128157076410,12.85520321572405469699076942,10.63529774492052008555203959,66,967,23,24,15,18,953,
2026-05-17T04:45:57.765658+05:30,B-SOL_USDT,4h,ema_fast,ema_rsi_trend,1000,-9.590775777395212927477387250,904.0922422260478707252261275,35,25.71428571428571428571428571,0.6256320097886528242686630955,12.22190292349199652286263317,11.97874663444213323422646924,70,965,26,29,16,21,943,
2026-05-17T04:46:09.770517+05:30,B-SOL_USDT,4h,ema_slow,ema_rsi_trend,1000,-10.86604631411392975909852581,891.3395368588607024090147419,28,21.42857142857142857142857143,0.4993524460982924724321594976,13.52738193855129385372799668,8.723459588046353262226170522,56,972,19,20,13,17,959,
2026-05-17T04:46:21.789659+05:30,B-SOL_USDT,4h,ema_conservative_rsi,ema_rsi_trend,1000,-11.29164286048775290202395936,887.0835713951224709797604064,32,21.87500,0.5230648979627945076336423814,13.84175720779091885534309892,10.18196769455230605990885805,64,967,20,24,12,22,953,
2026-05-17T04:46:37.752808+05:30,B-SOL_USDT,4h,bb_default,bb_volume_reversion,1000,2.279338696975884100183538500,1022.793386969758841001835385,24,50.0,1.176027263054230309737061279,4.287593285058940043367967538,10.01197772273103327099806283,48,976,15,15,13,11,970,
2026-05-17T04:46:53.743842+05:30,B-SOL_USDT,4h,bb_lenient_volume,bb_volume_reversion,1000,6.064973417472994071506555300,1060.649734174729940715065553,33,48.48484848484848484848484848,1.322308721356719678571077158,4.702626099282224951007879342,14.76508048508831051392563267,66,967,23,20,17,16,957,
