completed_at,pair,interval,variant,family,candles_loaded,total_return_pct,rank_score,rank_grade,final_equity,trade_count,win_rate_pct,profit_factor,max_drawdown_pct,fees_paid,maker_fee_rate,taker_fee_rate,fee_gst_rate,maker_fee_effective_rate,taker_fee_effective_rate,entry_fee_type,exit_fee_type,leverage,risk_per_trade_pct,compound_risk_equity,stop_loss_pct,take_profit_pct,stop_slippage_pct,funding_fee_rate,funding_interval_hours,funding_paid,ambiguous_exit_count,gap_exit_count,trailing_stop_enabled,trailing_profile,trailing_stop_activation_pct,trailing_stop_distance_pct,atr_dynamic_exits_enabled,atr_period,atr_stop_multiple,atr_take_profit_multiple,atr_take_profit_mode,accepted_reports,rejected_reports,enter_long,enter_short,exit_long,exit_short,hold,error
2026-05-18T10:07:08.145280+05:30,B-KITE_USDT,5m,hybrid_meta,hybrid_meta,120,-0.8444355318645442828913523900,-1.849979946695224636505542878,too_few_trades,991.5556446813545571710864761,1,0,0E+27,0.8444355318645442828913523900,0.8213278616235090590757957404,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,2,119,1,0,1,0,119,
2026-05-18T10:07:08.871474+05:30,B-KITE_USDT,15m,hybrid_meta,hybrid_meta,120,0,-999999,too_few_trades,1000,0,,,0,0,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,3,False,,5,,0,8,0,0,0,False,off,0,0,True,14,1.5,3,fixed,0,120,0,0,0,0,120,
2026-05-18T10:07:09.514641+05:30,B-RAVE_USDT,5m,hybrid_meta,hybrid_meta,120,0,-999999,too_few_trades,1000,0,,,0,0,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,2,2,False,,,,0,8,0,0,0,True,1:2,1,2,False,14,1.5,3,fixed,0,120,0,0,0,0,120,
2026-05-18T10:07:09.935508+05:30,B-RAVE_USDT,15m,hybrid_meta,hybrid_meta,120,0,-999999,too_few_trades,1000,0,,,0,0,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,2,1,False,,5,,0,8,0,0,0,True,1:2,1,2,True,14,1.5,3,fixed,0,120,0,0,0,0,120,
2026-05-18T10:07:10.229597+05:30,B-KITE_USDT,5m,adaptive_default,adaptive_hybrid,120,-0.3830503944374447168519134200,-5.377201186428449832782091571,reject,996.1694960556255528314808658,4,25.00,0.9321648629859803900673568056,5.646784414370372716851913410,9.953149912198655063377868239,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,3,3,False,,5,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,8,116,2,2,2,2,116,
2026-05-18T10:07:10.530473+05:30,B-KITE_USDT,15m,adaptive_default,adaptive_hybrid,120,-2.451762683888101622894371500,-4.732366231044401665170892151,reject,975.4823731611189837710562850,6,33.33333333333333333333333333,0.3521797538409453414484594866,2.627970443870552580138751699,4.938812548830145478848199437,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,3,False,,,,0,8,0,0,0,False,off,0,0,True,14,1.5,3,fixed,12,114,3,3,3,3,114,
2026-05-18T10:07:10.817167+05:30,B-RAVE_USDT,5m,adaptive_default,adaptive_hybrid,120,3.121546927884203161543828200,6.867311903630654119899367764,A,1031.215469278842031615438282,4,25.00,2.775576876939809895558558490,1.604311022506535066209261933,3.264877727533661659031937429,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,2,False,,5,,0,8,0,0,0,True,1:2,1,2,False,14,1.5,3,fixed,8,116,2,2,2,2,116,
2026-05-18T10:07:11.112991+05:30,B-RAVE_USDT,15m,adaptive_default,adaptive_hybrid,120,0,-999999,too_few_trades,1000,0,,,0,0,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,2,1,False,,,,0,8,0,0,0,True,1:2,1,2,True,14,1.5,3,fixed,0,120,0,0,0,0,120,
2026-05-18T10:07:11.329898+05:30,B-KITE_USDT,5m,hybrid_meta,hybrid_meta,120,-0.8912971918043453648879032200,-1.955418681559777070997782245,too_few_trades,991.0870280819565463511209678,1,0,0E+27,0.8912971918043453648879032200,0.8210512146081251561893130657,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,3,False,,5,,0,8,0,0,0,False,off,0,0,True,14,1.5,3,fixed,2,119,1,0,1,0,119,
2026-05-18T10:07:11.551232+05:30,B-KITE_USDT,15m,hybrid_meta,hybrid_meta,120,0,-999999,too_few_trades,1000,0,,,0,0,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,2,2,False,,,,0,8,0,0,0,True,1:2,1,2,False,14,1.5,3,fixed,0,120,0,0,0,0,120,
2026-05-18T10:07:11.769782+05:30,B-RAVE_USDT,5m,hybrid_meta,hybrid_meta,120,0,-999999,too_few_trades,1000,0,,,0,0,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,2,1,False,,5,,0,8,0,0,0,True,1:2,1,2,True,14,1.5,3,fixed,0,120,0,0,0,0,120,
2026-05-18T10:07:11.982026+05:30,B-RAVE_USDT,15m,hybrid_meta,hybrid_meta,120,0,-999999,too_few_trades,1000,0,,,0,0,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,3,3,False,,5,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,0,120,0,0,0,0,120,
